; jour debut ; date debut; jour crois ; date crois; jour Za0.01 ; date Za0.01 ; duree epid. en jour; jour Za0.001 ; date Za0.001 ; duree epid. en jour; prop. act. deces ; prop. fin. deces; taux deces p1 ; taux guerison p2 ; prop. cas confirmes/pop.tot. en pour mille; taux inf. pop. en % pour TDR=0.005 ; taux inf. pop. en % pour TDR=0.010 ; taux inf. pop. en % pour TDR=0.020
Austria; 50 ; 2020-03-12; 82 ; 2020-04-13; 114 ; 2020-05-15 ; 65; 130 ; 2020-05-31 ; 81; 0.036 ; 0.048; 0.0015 ; 0.1433 ; 1.73; 1.2318 ; 0.6159 ; 0.308
Spain; 32 ; 2020-02-23; 94 ; 2020-04-25; 171 ; 2020-07-11 ; 140; 212 ; 2020-08-21 ; 181; 0.102 ; 0.131; 0.0022 ; 0.0546 ; 4.597; 9.4077 ; 4.7039 ; 2.352
Italy; 15 ; 2020-02-06; 109 ; 2020-05-10; 238 ; 2020-09-16 ; 224; 308 ; 2020-11-25 ; 294; 0.135 ; 0.186; 0.0021 ; 0.031 ; 3.273; 8.8225 ; 4.4113 ; 2.206
France; 35 ; 2020-02-26; 109 ; 2020-05-10; 211 ; 2020-08-20 ; 177; 267 ; 2020-10-15 ; 233; 0.142 ; 0.199; 0.0029 ; 0.0384 ; 2.397; 6.8125 ; 3.4063 ; 1.703
Germany; 35 ; 2020-02-26; 83 ; 2020-04-14; 131 ; 2020-06-01 ; 97; 155 ; 2020-06-25 ; 121; 0.038 ; 0.051; 0.0011 ; 0.0941 ; 1.96; 1.4847 ; 0.7424 ; 0.371
Belgium; 45 ; 2020-03-07; 110 ; 2020-05-11; 204 ; 2020-08-13 ; 160; 257 ; 2020-10-05 ; 213; 0.154 ; 0.233; 0.0039 ; 0.0404 ; 3.977; 12.231 ; 6.1155 ; 3.058
Switzerland; 40 ; 2020-03-02; 81 ; 2020-04-12; 125 ; 2020-05-26 ; 86; 147 ; 2020-06-17 ; 108; 0.055 ; 0.066; 0.0016 ; 0.1019 ; 3.501; 3.8795 ; 1.9398 ; 0.97
Denmark; 40 ; 2020-03-02; 86 ; 2020-04-17; 132 ; 2020-06-02 ; 93; 154 ; 2020-06-24 ; 115; 0.049 ; 0.047; 0.001 ; 0.0999 ; 1.478; 1.4552 ; 0.7276 ; 0.364
Sweden; 50 ; 2020-03-12; 185 ; 2020-07-25; 397 ; 2021-02-22 ; 348; 522 ; 2021-06-27 ; 473; 0.118 ; 0.351; 0.003 ; 0.0155 ; 1.864; 4.388 ; 2.194 ; 1.097
US; 50 ; 2020-03-12; 131 ; 2020-06-01; 229 ; 2020-09-07 ; 180; 280 ; 2020-10-28 ; 231; 0.057 ; 0.114; 0.0014 ; 0.0436 ; 2.933; 3.3332 ; 1.6666 ; 0.833
Portugal; 41 ; 2020-03-03; 171 ; 2020-07-11; 319 ; 2020-12-06 ; 279; 396 ; 2021-02-21 ; 356; 0.038 ; 0.092; 7e-04 ; 0.0293 ; 2.295; 1.7365 ; 0.8683 ; 0.434
Canada; 40 ; 2020-03-02; 100 ; 2020-05-01; 165 ; 2020-07-05 ; 126; 199 ; 2020-08-08 ; 160; 0.056 ; 0.078; 0.0013 ; 0.0671 ; 1.313; 1.4825 ; 0.7412 ; 0.371
Netherlands; 45 ; 2020-03-07; 500 ; 2021-06-05; Inf ; NA ; Inf; Inf ; NA ; Inf; 0.118 ; 0.665; 0.0026 ; 0.001 ; 2.2; 5.2035 ; 2.6017 ; 1.301
United Kingdom; 42 ; 2020-03-04; 500 ; 2021-06-05; Inf ; NA ; Inf; Inf ; NA ; Inf; 0.136 ; 0.738; 0.0029 ; 0 ; 2.348; 6.3693 ; 3.1846 ; 1.592
